tingoːn	bədɪŋən
tiof	tiːf
zug	t͡suːk
niowiht	nɪxt
roːa	ruːə
quappa	kvapə
pfiːl	pfail
pfluːma	pflaumə
ruːsa	rɔyzə
breit	brait
munih	mœnx
tropf	trɔpfən
niomeːr	nɪmər
ahto	axt
wellen	vɔlən
weban	veːbən
reba	reːbə
hehhit	hɛxt
betoːn	beːtən
huof	huːf
essa	ɛsə
segansa	zɛnzə
rechen	rɛkən
wituwa	vɪtvə
diomuotiː	deːmuːt
triofan	triːfən
sulza	zʏlt͡sə
billiːh	bɪlɪx
giburtitag	ɡəbuːrt͡staːk
widerwart	viːdərvɛrtɪx
sturm	ʃtʊrm
klaːftra	klaftər
mer	meːr
gisiht	ɡəzɪxt
malz	malt͡s
nidarunga	niːdərʊŋ
brocko	brɔkən
gold	ɡɔlt
irziohan	ɛrt͡siːən
siht	zɪxt
kohhar	kœxər
wintfanga	vɪntfaŋ
hornuz	hɔrnɪsə
koloro	kɔlər
wirtscaft	vɪrʧaft
pfad	pfaːt
kahhala	kaxəl
fiebar	fiːbər
skirm	ʃɪrm
zeːdarboum	t͡seːdər
bliːo	blai
ask	aʃ
zwec	t͡svɛk
truha	truːə
sunnuːnaːband	zɔnaːbənt
aba	ap
ankar	aŋkər
krusta	krʊstə
spanna	ʃpanə
hasalnuz	haːzəlnʊs
pfliht	pflɪxt
klubba	klʊpə
hoːh	hoːx
gans	ɡans
ladan	laːdən
ungimah	ʊnɡəmax
las	laks
haspil	haspəl
segal	zeːɡəl
ingeltan	ɛntɡɛltən
semala	zɛməl
rudio	ryːdə
rant	rant
kelih	kɛlx
eid	ait
foːnno	føːn
lob	loːp
sliːhhan	ʃlaixən
hintberi	hɪmbeːrə
gaganoːti	ɡeːɡənt
bloh	blɔk
spanga	ʃpaŋə
habeːn	haːbən
folc	fɔlk
sag	zaːɡə
muːs	maus
reganbogo	reːɡənboːɡən
strengi	ʃtrɛŋ
mugan	møːɡən
ruom	ruːm
rein	rain
pressa	prɛsə
grieben	ɡriːbə
meineid	mainait
cipres	t͡syːprɛsə
kruog	kruːk
pelzoːn	pɛlt͡sən
stiːgan	ʃtaiɡən
samfti	zanft
heizeːn	hait͡sən
heven	heːbən
nioro	niːrə
nabalo	naːbəl
kamb	kam
niosan	niːzən
harn	harn
